"","ABREV","TALLA","vol.relativo","COLOR"
"1","C.macrophthalma","18 - 34",0.0604621309370988,"red4"
"2","G.argenteus","< 18",0.482552791135271,"aquamarine"
"3","M.merluccius","< 18",0.0913652519339327,"yellow"
"4","M.poutassou","18 - 34",0.709730423620026,"cyan"
"5","M.poutassou","> 34",0.582451253481894,"cyan"
"6","otros","< 18",0.372768137152415,"purple"
"7","otros","18 - 34",0.0371758664955071,"purple"
"8","otros","> 34",0.0864001310830739,"purple"
"9","S.pilchardus","18 - 34",0.13204107830552,"tan             "
"10","S.pilchardus","> 34",0.0860232672456169,"tan             "
"11","T.trachurus","< 18",0.0533138197783818,"violetred"
"12","T.trachurus","18 - 34",0.0605905006418485,"violetred"
"13","T.trachurus","> 34",0.245125348189415,"violetred"
